row_type,rows_total,discovery_rows,control_rows,spatial_phase_bridge_candidate_count,spatial_phase_near_miss_count,phase_lock_gt_0p90_found,phase_lock_gt_0p50_found,best_phase_lock_case,best_phase_lock_topology,best_phase_lock,best_bridge_ratio,best_qpm_case,best_qpm_lock,lumped_lock,lumped_bridge_ratio,qpm_outperforms_lumped,phase_mismatch_predicts_failure,controls_dead,controls_mostly_clean,max_control_leakage_score,recommended_next_step,case_id,name,topology,role,source_mode,generated_mode,target_mode,k4,k8,k12,delta_k_448,delta_k_4812,qpm_period_448,qpm_period_4812,qpm_duty_cycle,grating_kind,coupling_sign_pattern,chain_length,cell_count,group_velocity_mismatch_8,group_velocity_mismatch_12,nonlinear_strength_448,nonlinear_strength_4812,coupling_strength,damping_loss,direct_8_drive_present,direct_12_drive_present,target_frequency_injection_present,execution_status,phase_lock_target,phase_lock_generated,bridge_ratio,target_spectral_purity,generated_envelope_cv,target_envelope_cv,max_phase_jump,near_slip_count,target_coherent_growth,target_coherent_power,target_total_power,generated_power,spatial_coherence_length,spatial_target_coherence,spatial_generated_coherence,accumulated_phase_mismatch,qpm_gain_factor,stored_energy_final,stored_energy_peak,drive_work,dissipated_loss,rhs_energy_work,energy_budget_error,energy_budget_clean,control_leakage_score,promotion_category
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s009,linear_no_nonlinearity_control,linear_control,control,4.0,8.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,none,uniform,24.0,64,0.0,0.0,0.085,0.115,0.16,0.045,False,False,False,simulated,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.613843902912706,29.854451333348678,342.60580472323926,192.12978064340942,11.613843902758374,4.504642257553224e-13,True,0.0647121085184914,control_dead
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s010,detuned_target_control,detuned_target_control,control,4.0,8.0,12.65,1.0,2.0,3.0,0.0,1.15,0.0,0.0,0.5,none,uniform,24.0,64,0.0,0.4,0.085,0.115,0.16,0.045,False,False,False,simulated,0.026813128902179562,0.9977753142674006,2.626752281439604e-05,0.0020289015290044466,0.04219280261889581,0.1408650545129134,0.22880210139030766,0.0,0.333758304826872,1.8051502221060354e-13,8.897180056795547e-11,2.175182702398637e-08,12.919822006536965,0.5383259169390402,0.9977775196120717,27.599999999999998,0.26721551967246016,18.647284994153377,40.41664564006907,269.49026398017,276.91813714070383,18.647284875379203,4.2891439225352706e-10,True,0.0647121085184914,control_dead
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s011,shuffled_frequency_control,shuffled_frequency_control,control,4.0,12.0,8.0,1.0,3.0,2.0,1.0,-1.0,0.0,0.0,0.5,none,uniform,24.0,64,0.25,-0.35,0.085,0.115,0.16,0.045,False,False,False,simulated,0.007838778362510486,0.014203158233695546,2.1549300470808645e-08,0.00024024538033104117,0.16532934154383344,0.25149485547195183,1.1887764134008592,1.0,0.14809057102937298,1.4809057102937299e-16,6.164138133491459e-13,2.6344450241954778e-11,17.644197701439964,0.7351749042266651,0.6341355832178571,33.941125496954285,0.030296922673725,11.606328320922245,29.928360618962117,341.6929443815808,192.7148597455075,11.606326439776844,5.505367998255257e-09,True,0.0647121085184914,control_dead
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s012,sweep_delta_k_448_-0.45,delta_k_448_sweep,discovery,4.0,8.0,12.0,1.0,2.0,3.0,-0.45,0.0,0.0,0.0,0.5,none,uniform,24.0,64,0.04,-0.06,0.06,0.075,0.16,0.045,False,False,False,simulated,0.7546703995322012,0.7440773548962883,0.601147024593625,0.9065225930224752,0.09079832965954415,0.03783182192151101,0.019176749720591246,0.0,50.04930942857819,4.131187750863348e-09,4.557181235924171e-09,3.3112090874808835e-09,23.78156523072075,0.9908985512800312,0.8239534318990729,10.8,0.36139493210947893,18.21307204578163,38.6693978571198,276.7042894070694,266.9453310237175,18.21307204539254,1.4061569129351248e-12,True,0.0647121085184914,not_promoted
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s013,sweep_delta_k_4812_-0.45,delta_k_4812_sweep,discovery,4.0,8.0,12.0,1.0,2.0,3.0,0.0,-0.45,0.0,0.0,0.5,none,uniform,24.0,64,0.04,-0.06,0.06,0.075,0.16,0.045,False,False,False,simulated,0.7069843612927598,0.8845066250337991,0.5253377606995772,0.9109457191049201,0.06147789349981939,0.037789480651927665,0.019252396383062864,0.0,47.469893784626805,3.6102131979030825e-09,3.963148541331768e-09,6.719425672643441e-09,22.558645752224894,0.9399435730093706,0.9873013425801749,10.8,0.36139493210947893,17.901930189375427,38.253853984706424,276.957378036654,264.21099034758464,17.901930188988562,1.3968418294833189e-12,True,0.0647121085184914,not_promoted
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s014,sweep_delta_k_448_-0.20,delta_k_448_sweep,discovery,4.0,8.0,12.0,1.0,2.0,3.0,-0.2,0.0,0.0,0.0,0.5,none,uniform,24.0,64,0.04,-0.06,0.06,0.075,0.16,0.045,False,False,False,simulated,0.7573613506498813,0.8443122895120304,0.8003675350063953,0.9175865872630572,0.0708315614410749,0.042560472428477915,0.019136047959926294,0.0,57.3105001227518,5.500266027337127e-09,5.994274658856026e-09,5.435713073912929e-09,23.903696623682478,0.9959873593201033,0.9389146825944219,4.800000000000001,0.5151598149138009,18.00990621219185,38.3713819416071,276.74557527600507,265.06351104355406,18.009906211803163,1.4044965031697415e-12,True,0.0647121085184914,not_promoted
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s015,sweep_delta_k_4812_-0.20,delta_k_4812_sweep,discovery,4.0,8.0,12.0,1.0,2.0,3.0,0.0,-0.2,0.0,0.0,0.5,none,uniform,24.0,64,0.04,-0.06,0.06,0.075,0.16,0.045,False,False,False,simulated,0.7482727953714072,0.8844261441776552,0.747308564044649,0.9191456865407746,0.06155461391338231,0.04228564750233674,0.01914522491548798,0.0,55.554444345422624,5.135635476169121e-09,5.58740094347524e-09,6.810874719546343e-09,23.743674240515794,0.9893197600214915,0.9874288806749101,4.800000000000001,0.5151598149138009,17.88960567378802,38.20593502109648,276.79437781120646,263.98595038672886,17.889605673400013,1.4017845116101519e-12,True,0.0647121085184914,not_promoted
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s016,sweep_delta_k_448_-0.08,delta_k_448_sweep,discovery,4.0,8.0,12.0,1.0,2.0,3.0,-0.08,0.0,0.0,0.0,0.5,none,uniform,24.0,64,0.04,-0.06,0.06,0.075,0.16,0.045,False,False,False,simulated,0.7582122632847074,0.8731042781045265,0.8687795943767037,0.9223814253064057,0.06444485649524374,0.04476473808170181,0.0191160762299889,0.0,60.13451524708407,5.9704056938737905e-09,6.472816483582681e-09,6.37886516890696e-09,23.944226662733218,0.9976761109472174,0.9732320227690325,1.92,0.9213509579888566,17.91621222659476,38.23698291943052,276.7520960522013,264.20092127784596,17.916212226206348,1.4034621114581862e-12,True,0.0647121085184914,not_promoted
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s017,sweep_delta_k_4812_-0.08,delta_k_4812_sweep,discovery,4.0,8.0,12.0,1.0,2.0,3.0,0.0,-0.08,0.0,0.0,0.5,none,uniform,24.0,64,0.04,-0.06,0.06,0.075,0.16,0.045,False,False,False,simulated,0.7568560833959366,0.8844001812546638,0.8440427753160747,0.9229363990378757,0.061299562407772845,0.044576474182542555,0.019115374332632662,0.0,59.315489093176694,5.800409936234176e-09,6.284734183504813e-09,6.869617329008911e-09,23.952007673449565,0.9980003197270653,0.9874600921115733,1.92,0.9213509579888566,17.87158940172775,38.17477844864457,276.7577873722451,263.7978897964107,17.871589401339673,1.4022265811372524e-12,True,0.0647121085184914,not_promoted
spatial_phase_matching,,,,,,,,,,,,,,,,,,,,,,s018,sweep_delta_k_448_+0.00,delta_k_448_sweep,discovery,4.0,8.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,none,uniform,24.0,64,0.04,-0.06,0.06,0.075,0.16,0.045,False,False,False,simulated,0.7585703919443657,0.8843894325277629,0.900056425941749,0.9254650562387403,0.061059180531301334,0.04608765952400525,0.01910369670438694,0.0,61.75699538481727,6.185345564090527e-09,6.683499849501509e-09,6.912316179261501e-09,23.963202925727728,0.9984667885719887,0.9874721057729743,0.0,1.0,17.855633511216002,38.15158451469071,276.747974907149,263.6476734591244,17.855633510827857,1.402520208793638e-12,True,0.0647121085184914,not_promoted
