row_type,case_id,name,probe_kind,role,time_s,v_in,v_q1,v_mid,v_q3,v_raw_pre_extraction,v_post_extraction,i_src,i_bias
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,3.85176539247155e-07,1.582731547561025,1.1553923990364163,-1.2734929310873537,1.745330061018366,1.01335741116178,0.2763954955670281,-0.013495019765765724,0.016151419874953964
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,3.890283046396265e-07,0.6439011091385827,-0.9827014795391282,-0.546587570211711,-0.7407520359768518,-0.7648155900650432,-0.48148172818542356,-0.0018292278061558366,0.004034473357557167
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,3.928800700320981e-07,-0.8588223398947367,-0.11317979365074397,0.6474899553546923,0.274489107097176,-0.5385161965149479,0.2049914874511325,0.015803368217988653,-0.027846976549766096
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,3.967318354245696e-07,-1.6480328591876388,-0.19744198627398965,0.4299822319962691,0.3738459362864056,1.0192975062585716,0.3425965489724281,0.007676252610921792,0.015522912593633816
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.005836008170412e-07,-0.012763338955773106,0.04241220641725955,0.8887210924390585,-1.7050304359113169,-0.8237514022997406,-0.5097709756930852,-0.0064876414305159065,-0.0075410730813229646
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.044353662095127e-07,1.5736872887759679,1.046460210111865,-0.7802549676580979,1.6790197980798298,0.9611380460195034,0.5084952094444978,-0.013137901085312605,0.01378559564966916
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.082871316019843e-07,0.9556182072191761,-0.18080626050504167,-1.253181089137412,-0.649737753024267,-0.43959794631122684,-0.5325317055910189,-0.005023629642015255,0.01050436332685333
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.1213889699445586e-07,-0.6096549803990813,-0.6035328321367813,0.6965336741010244,0.09915080866462242,-0.6798970108953775,0.18583506215232173,0.013448297327779375,-0.028050638269627972
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.159906623869274e-07,-1.5785878951682435,-0.10833407808855557,0.31533705060776746,0.806307983726447,0.8975611180584065,0.39789503464559306,0.011943744762652466,0.00800822342632395
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.1984242777939895e-07,-0.5551046276402009,-0.02743744174368398,1.0025816852311196,-1.6921821414623055,-0.6570210088050942,-0.6409202822787461,-0.0056862932946469425,-0.0035744946750890525
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.2369419317187047e-07,1.4616847083183326,0.8319877135549182,-0.39122011837628956,1.0654283206425939,0.6982977151304247,0.6004752569572491,-0.012296819658848069,0.008982134507342376
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.2754595856434204e-07,1.1978298016455695,0.5217423482149918,-1.8067278936509,-0.17877636755765974,-0.02611321551645393,-0.4645319135705738,-0.008178759675160711,0.014254836159914538
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.3139772395681356e-07,-0.31416091750240727,-1.2268189633662923,0.6211601697943865,-0.13202540870741247,-0.8572741167280593,0.0853837634769689,0.01054421122357099,-0.023753207243165136
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.3524948934928514e-07,-1.435711660574372,0.017815700380387007,0.34344924504344493,0.9683499134373205,0.580584899279444,0.3587382001927473,0.015413085856551191,-0.0023278989395696835
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.391012547417567e-07,-1.051091086398108,-0.04329282223606098,0.9586357591968443,-1.4027222185860821,-0.2861188886978021,-0.5632966918986982,-0.004358619606265971,0.00400084967487636
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.4295302013422823e-07,1.285812317793422,0.5572298891638681,-0.032401097229806816,0.229451057086281,0.32603673124101096,0.5565352192047003,-0.010585104149976174,0.002969779588924044
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.468047855266998e-07,1.3845696676882127,0.9805175605376951,-1.9756654722788962,0.5751130510882897,0.44880331702204196,-0.3140152936761712,-0.010770833164425406,0.01586490825081786
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.506565509191713e-07,-0.02043510888633354,-1.6861939164182447,0.3984977953929141,-0.38433724279239156,-0.8849701408310692,-0.06685079463970373,0.006825948492428379,-0.015521081771283786
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.545083163116429e-07,-1.2451923611632862,0.13515065466711912,0.46324791703084744,0.8712536916774728,0.10473340331203686,0.2391655932748934,0.01764612559396769,-0.01348603158427077
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.583600817041144e-07,-1.4448173223537146,-0.09333394585180209,0.8015481950025685,-0.8947608550775925,0.23950391134182653,-0.262814374985292,-0.0021843479266570294,0.012739939639658686
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.62211847096586e-07,0.9924666957647117,0.3098498286843526,0.3149154888208577,-0.651628985260435,-0.1813408303874622,0.28330181410127275,-0.008962481575269798,-0.002678177286790494
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.6606361248905756e-07,1.5297833263121245,1.1881845938593198,-1.7478343050555065,1.2916505968718877,0.8377533881787733,-0.039769498647410084,-0.01234170135006482,0.01624650665867493
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.699153778815291e-07,0.28277031262913077,-1.6585170826129865,0.017481567680977514,-0.6300750989668925,-0.9130684195942484,-0.2975978327470957,0.0028489951542366365,-0.005369635116277758
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.7376714327400065e-07,-1.0595624219177677,0.13681261581915288,0.6017107679405894,0.5948847999405411,-0.2671856992179503,0.19553067166945226,0.017957198540013757,-0.02294632671234822
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.776189086664722e-07,-1.633476199480622,-0.17364042193890236,0.5841428973774004,-0.2353551018784094,0.7714277219779051,0.08335608412899716,0.0017978561961165432,0.01784005921411923
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.814706740589437e-07,0.5651252452895262,0.1543508378715138,0.6437601672735767,-1.2892922616752769,-0.6101844155052928,-0.10664184562349655,-0.007912482044545997,-0.006588901005883472
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.853224394514153e-07,1.5990124709204963,1.2000779282967964,-1.2872592679617565,1.735633878573901,1.0267099154614927,0.2475715727477572,-0.013160558573356948,0.015692040590614152
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.891742048438868e-07,0.5997201507018366,-1.1167664016029948,-0.5289245867015364,-0.8065254206213907,-0.7930061607305815,-0.48147369885222957,-0.0008926757998737079,0.003744365063581347
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.930259702363584e-07,-0.8739701453173221,-0.06642844968737152,0.696258483132266,0.31149257122529744,-0.5267163529382338,0.19503750376499393,0.01654820738424603,-0.028666173948909662
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,4.968777356288299e-07,-1.648502444166063,-0.1989641706006494,0.36765705622789985,0.3712156785504153,1.0267917996322875,0.3287990043656287,0.006818582755678849,0.016346582072381474
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.007295010213015e-07,0.05306535849570566,0.07538194452227594,0.8915959485887154,-1.669783871980633,-0.8324238449936028,-0.46034001321629603,-0.007167382156472153,-0.0071836880491193125
