row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias,cleanup_topology
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,5.7491289198606275e-08,5.7491289198606275e-08,-0.7995073750438141,-0.20799057740933566,9.257516396569417e-08,0.00824249760648862,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,6.132404181184669e-08,6.132404181184669e-08,0.28490139591170294,0.4481214368735131,4.1280801715977e-06,-0.0069716863144844736,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,6.515679442508711e-08,6.515679442508711e-08,0.9928386958660097,0.8680973285962085,0.00011469965729740962,-0.013383331421191424,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,6.898954703832752e-08,6.898954703832752e-08,0.4333988222079729,0.2355249689098704,0.0018785472886656725,-0.0025412711453566823,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,7.282229965156795e-08,7.282229965156795e-08,-0.7032174742819471,-1.2178024757344563,0.01799458906214917,0.011283459408985352,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,7.665505226480836e-08,7.665505226480836e-08,-0.9350103732504833,-0.36705493430901476,0.09904896976130752,0.010675049800735345,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,8.048780487804878e-08,8.048780487804878e-08,0.027791767134696173,0.2892236697372402,0.3115931594371472,-0.0036989727522679892,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,8.43205574912892e-08,8.43205574912892e-08,0.9371617894360486,0.8446287444686589,0.5493498596245416,-0.013554899368465267,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,8.815331010452962e-08,8.815331010452962e-08,0.6538498184924508,0.5086653168726505,0.19848542421607662,-0.005892238374008151,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,9.198606271777004e-08,9.198606271777004e-08,-0.4868477323422557,-1.0665592016890466,-1.02052611771188,0.009081338635005548,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,9.581881533101045e-08,9.581881533101045e-08,-1.0062131070234137,-0.5800815522786568,-0.18640957509812128,0.012365025961716033,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,9.965156794425088e-08,9.965156794425088e-08,-0.2329479150272631,0.13570277921484042,0.33351176263723314,-0.00019298901776582935,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,1.0348432055749129e-07,1.0348432055749129e-07,0.8186315099457939,0.7788882998027077,0.5245763966532603,-0.012779763925707953,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,1.0731707317073171e-07,1.0731707317073171e-07,0.82796372227422,0.7015634044179361,0.43231562411382873,-0.008858893392870645,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,1.1114982578397213e-07,1.1114982578397213e-07,-0.2374268808600936,-0.7754457121177478,-0.8921764979708506,0.006255366196942958,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,1.1498257839721255e-07,1.1498257839721255e-07,-1.0085106340990733,-0.8554255640466709,-0.44238092588467576,0.01321445795557158,none
spice_varactor_nltl_refine_timeseries,r001,refine_48c_75ohm_none,1.1881533101045296e-07,1.1881533101045296e-07,-0.47929480128373125,-0.0647314570247849,0.2899492935704343,0.00330553894237338,none
