row_type,case_id,name,topology,role,time,source_envelope,generated_envelope,target_envelope,target_phase_error
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,24.696822200000003,0.3953846451571011,0.45967177533127557,1.8787911787274676,0.4088826221473916
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,25.0288222,0.39600062065473707,0.4605032195188674,1.8796467160908272,0.391877381811339
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,25.3608222,0.39653736707708365,0.4619220285191983,1.889442007631976,0.3747470260682908
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,25.692822200000002,0.3971666247848934,0.4634898117921979,1.9074433084832612,0.35941718527381505
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,26.024822200000003,0.39769162718481366,0.46518984885101267,1.9325070862175129,0.3469862159769441
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,26.3568222,0.3981613978131849,0.46732134156664934,1.963053181388288,0.33678173382771837
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,26.6888222,0.3987069078914961,0.46965719558934593,1.9973177628060415,0.3297638755432568
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,27.020822199999998,0.3991510054717286,0.4717889953262591,2.0335182113541532,0.32673866808610263
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,27.352822200000002,0.3995593996458537,0.4740109546568731,2.069860207378264,0.3262591035866067
spice_tl_timeseries,t001,tl_phase_matched_ladder,tl_phase_matched,discovery,27.684822200000003,0.400022438242783,0.47640471718024385,2.1048043439903954,0.32834255250735556
