row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,4.736275565123789e-08,4.736275565123789e-08,1.113534640193884,0.29117547918060926,5.767944485572389e-05,-0.014384459305070589
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,5.130965195550772e-08,5.130965195550772e-08,0.41238500180627563,0.2017377380811535,0.00026704447112591175,0.04848083717043065
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,5.525654825977754e-08,5.525654825977754e-08,-0.9087140261090699,-0.007661315757321254,0.0010288467112589382,0.0433771985738968
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,5.9203444564047366e-08,5.9203444564047366e-08,-0.9897203098408629,-0.2186577055363126,0.0033520751157047717,-0.01978677928988915
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,6.315034086831719e-08,6.315034086831719e-08,0.28814241296638887,-0.25696456395433936,0.009340437349246807,-0.05531285486496351
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,6.709723717258701e-08,6.709723717258701e-08,1.1280364698521994,-0.07156592027458362,0.022447545096884056,-0.01812233422690346
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,7.104413347685684e-08,7.104413347685684e-08,0.5099654514406834,0.174341694743724,0.04677411002022706,0.04616575700584253
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,7.499102978112666e-08,7.499102978112666e-08,-0.8490410216368197,0.24911702648708964,0.08462575326506225,0.04599932982287791
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,7.893792608539648e-08,7.893792608539648e-08,-1.055682905801416,0.07500919650254495,0.13254250752865643,-0.01603770182964914
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,8.28848223896663e-08,8.28848223896663e-08,0.19541891473669995,-0.18046658880829083,0.177793063982257,-0.055156463505032206
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,8.683171869393614e-08,8.683171869393614e-08,1.125470822249157,-0.24154194870981974,0.19884790600916913,-0.022073486647010032
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,9.077861499820596e-08,9.077861499820596e-08,0.5999515846562734,-0.03450249068235644,0.17333687352035135,0.04336268508044764
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,9.472551130247578e-08,9.472551130247578e-08,-0.7781918671231728,0.20545309361242997,0.09343115010389832,0.048546187935995584
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,9.86724076067456e-08,9.86724076067456e-08,-1.1093789824943705,0.20860234954850687,-0.018748055392958804,-0.011969632308777674
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.0261930391101544e-07,1.0261930391101544e-07,0.09890157611193706,-0.03146171777788618,-0.1116468385763742,-0.05466887376649446
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.0656620021528526e-07,1.0656620021528526e-07,1.1111493272202009,-0.2412734750574032,-0.13276754294289086,-0.026029506329186353
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.1051309651955508e-07,1.1051309651955508e-07,0.683829925356833,-0.16913324400338609,-0.06979606482999834,0.04018890304254929
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.144599928238249e-07,1.144599928238249e-07,-0.6991884786481889,0.09245013856627746,0.03290627690983529,0.05087184505770786
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.1840688912809473e-07,1.1840688912809473e-07,-1.1514166075072803,0.2217565436425687,0.10175221560926707,-0.007685649705854589
spice_varactor_nltl_timeseries,d001,varactor_nltl_12cells_25ohm,1.2235378543236455e-07,1.2235378543236455e-07,0.0002238857574753568,0.0657036426240945,0.0870995779399567,-0.053877089749134945
