row_type,circuit,case_id,role,control_kind,nonlinear_variant,time_s,v_source,v_generated,v_target,i_source,i_generated,i_target,scale_preset,phase_error_target,unwrapped_phase_error_target,generated_envelope,target_envelope
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,119.834471,-0.167066174,-0.0181051846,-4.28040393e-05,0.428403716,-0.033994842,-2.78848819e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,122.940749,0.294859439,0.0147988847,2.13531866e-05,-0.326770896,0.0604338213,-1.5165527e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,125.989704,-0.370568556,-0.0106858546,-4.3444673e-06,0.208453534,-0.0763965433,7.52811147e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,129.016471,0.409738084,0.00601274648,-5.45502943e-06,-0.0823914007,0.0850288912,-0.000130948351,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,132.036051,-0.416929873,-0.000907150418,9.41775976e-06,-0.0463170206,-0.0871621167,0.000164568853,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,135.001044,0.401179542,-0.00318580319,-1.08970331e-05,0.144145234,0.0843763019,-0.000168016143,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,138.042118,-0.349048792,0.00877002107,1.52977928e-05,-0.269836387,-0.0739768246,0.000139780977,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,141.101186,0.259634167,-0.0138687804,-2.68514162e-05,0.377557237,0.0555331708,-8.94202052e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,144.146521,-0.150137214,0.0173174776,4.17439156e-05,-0.445041104,-0.032612311,4.97840505e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,147.126769,0.0575638133,-0.0188169644,-5.10555605e-05,0.469422313,0.0132106564,-3.52008032e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,149.981935,-0.0213211168,0.0193907479,5.54431846e-05,-0.472313608,-0.00551201327,3.35603721e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,152.843379,-0.0180830349,-0.0197561888,-5.85145595e-05,0.471385715,-0.00295132984,-3.48279764e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,155.724965,0.0673176761,0.0193400386,5.49377583e-05,-0.464355972,0.0133589578,3.69818327e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,158.604158,-0.11442345,-0.0187829629,-5.01435971e-05,0.451247868,-0.023118363,-3.62543217e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,161.561665,0.193364708,0.0176383939,4.04798546e-05,-0.413577896,0.0394301592,2.73547442e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,164.55918,-0.278621198,-0.0153915653,-2.48038747e-05,0.344615586,-0.0570526633,9.19494721e-07,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,167.503694,0.332114737,0.0131297922,1.27296536e-05,-0.277873313,0.0682339371,-3.50461884e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,170.43988,-0.372044149,-0.0105696461,-2.96283282e-06,0.205299687,-0.0766974533,7.34619296e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,173.334235,0.393884445,0.00846292902,-2.56779221e-06,-0.147544805,0.0814575083,-0.000102388807,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,176.282706,-0.413450979,-0.00509638992,7.81159427e-06,0.058695258,-0.0859098358,0.000139476994,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,179.236674,0.417565777,0.00136486212,-1.02556785e-05,0.0352620213,0.0872417983,-0.000164774121,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,182.17716,-0.406711042,0.00219567596,1.11705402e-05,-0.120866097,-0.0854042522,0.000171856032,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,185.146796,0.37636701,-0.00634787634,-1.28728943e-05,0.216323261,0.0795020512,-0.00015952201,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,188.206306,-0.300500432,0.0119024816,2.07411821e-05,-0.336938268,-0.0640101542,0.000113297913,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,191.147486,0.23764277,-0.0148027007,-2.93181145e-05,0.388876169,0.05129624,-8.52925297e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,194.119553,-0.144140925,0.0164174839,3.76557768e-05,-0.404631819,-0.0295929101,3.16216366e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,196.902543,0.122444648,-0.0145019058,-3.49568294e-05,0.352881491,0.0250533175,-2.35511766e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,199.388762,-0.179827771,0.0101876974,1.84047106e-05,-0.234026814,-0.0364992883,3.20289312e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,201.304553,0.234645971,0.000615440147,7.98723261e-07,-0.0428600146,0.0482105156,-0.000106455158,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,203.373043,-0.119146942,-0.00628340722,6.12477854e-06,0.18167742,-0.0259121721,1.32153207e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,205.602085,0.0034323536,0.00853168523,3.52126812e-05,-0.178700436,0.00274159529,7.49365911e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,207.553985,0.103945157,-0.00292529069,-6.80968024e-06,0.0843935312,0.0203476276,8.93609892e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,209.405953,-0.103308479,-0.000774346439,-3.6015741e-06,0.0551524828,-0.0192678724,0.000205274241,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,211.314699,0.0156516389,0.00529020097,-3.23910546e-06,-0.106494733,0.00631470414,0.000222796223,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,212.992223,0.0717504768,-0.000276578006,2.90983827e-05,0.0405403318,0.0109377383,0.000271985247,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,214.720166,-0.0561057814,0.000459337531,7.93390147e-05,0.0560529557,-0.00984836309,0.000280471522,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,216.345642,-0.0291557157,0.00187118868,0.000125409213,-0.0655818713,-0.00376361366,1.14773716e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,218.078172,0.0597596608,-0.000451874583,0.000114681397,-0.00654354123,0.00350759607,-0.000193766416,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,219.620526,-0.00404490411,-0.00138925709,-2.23795014e-06,0.0632604082,-0.00127378425,-0.000447015217,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,221.157389,-0.0509238991,-0.000147357127,-0.000120918629,-0.0137187195,-0.00184123237,-0.000198944246,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,222.884652,0.0284314466,0.000269663325,-0.000131734359,-0.0464178795,0.00232034726,9.71780172e-06,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,224.36226,0.0361133866,1.13989648e-05,-2.70005317e-05,0.0346635437,0.00106325413,0.000427748681,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,225.993517,-0.0374449566,9.25490622e-05,7.28191763e-05,0.0292217832,-0.00143273952,0.000352995924,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,227.43243,-0.0230264243,0.000208187137,0.000108689195,-0.0421144233,-0.000484442437,-0.000192768347,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,229.061922,0.0402365122,-0.000118012286,2.9052427e-05,-0.0135018704,0.000791016229,-0.000386470634,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,230.611095,0.00485214853,-0.000256993392,-8.48858299e-05,0.0455723419,-0.000215348154,-0.000259317419,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,232.147709,-0.0389904502,-1.2222686e-05,-0.000100210765,-0.00207845952,-0.000425779631,0.00014227829,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,233.901925,0.0161570447,0.000130696986,-7.17124803e-05,-0.0383981828,0.000685772626,0.000250950984,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,235.503994,0.0282348599,1.07861008e-05,1.45748132e-05,0.0260795041,0.000144011365,0.000330423211,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,237.20331,-0.029939345,1.06403209e-05,6.38046793e-05,0.0205605681,-0.000479913488,0.000235319093,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,238.680909,-0.0150177939,8.46115599e-05,7.9069277e-05,-0.0348041164,5.35711266e-05,-0.000144277472,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,240.363319,0.032650295,-1.88735329e-05,3.46197403e-05,-0.00465098062,0.00023608331,-0.000262575513,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,241.96609,-0.00320135441,-8.47560999e-05,-3.84921171e-05,0.0360275723,-0.000308979276,-0.000241770751,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,243.507034,-0.0298886553,-2.08806779e-05,-7.6836422e-05,-0.00953084968,-0.000107148864,1.07902453e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,245.04385,0.0124223733,5.29085819e-05,-2.80939672e-05,-0.031018692,0.000380900433,0.000228161739,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,246.735629,0.0211354637,-4.26831891e-07,1.52693948e-05,0.0230220859,-5.12586514e-05,0.000228113776,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,248.378458,-0.0244074526,-4.76286405e-06,5.55828289e-05,0.0160419172,-0.000247637227,0.000119311719,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,250.021397,-0.00686361398,4.90345688e-05,6.07624e-05,-0.0302615155,0.000185664615,-4.38498352e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,251.655177,0.0266560181,-2.35634697e-07,3.02018468e-05,0.000791247694,7.46235997e-05,-0.000169635055,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,253.23543,-0.00578871512,-3.44536144e-05,-2.40917451e-05,0.0286162685,-0.000247775695,-0.000170085276,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,255.045433,-0.0192934439,1.56376564e-06,-3.24340622e-05,-0.0184030177,5.09228823e-05,-0.000138261817,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,256.666976,0.0198091668,4.36931519e-07,-4.95509165e-05,-0.0159224876,0.000205403416,-8.22061604e-06,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,258.273416,0.0088822434,-1.50640753e-05,-3.07341598e-05,0.0250343032,-0.000153980097,0.00011902797,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,260.021769,-0.0229718378,-8.25835942e-06,-1.21150653e-05,-0.000616643693,-5.59002445e-05,0.00014298064,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,261.66993,0.00657469241,2.31723226e-05,1.92717651e-05,-0.0241460974,0.000224214733,0.000124765824,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,263.334196,0.017859158,3.5601142e-06,3.6372877e-05,0.0141509693,-6.99636868e-05,4.91106999e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,265.054429,-0.0173494222,-7.8850161e-06,3.66763399e-05,0.0133327962,-0.000143557747,-1.80192464e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,266.724178,-0.00589209024,1.78178134e-05,2.33208211e-05,-0.0222926512,0.000152809097,-8.72629348e-05,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,268.308832,0.0198305095,3.44798331e-07,-8.16936581e-06,-0.00154470094,4.40735608e-05,-0.000108124199,,,,,
component_realism_timeseries,c001_apd_c1_d1_l1_z100_default_m1,c001,discovery,,anti_parallel_diode_mixer,270.0,-0.00487578447,-1.31808706e-05,-2.36911425e-05,0.0211707488,-0.000171768711,-6.82684045e-05,,,,,
component_realism_phase_window,c001_apd_c1_d1_l1_z100_default_m1,c001,,,anti_parallel_diode_mixer,72.92667861289779,,,,,,,arbitrary-normalized-scale,1.0874565883006078,1.0874565883006075,0.002063071128544108,1.815446484313728e-05
