 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 2.95629535e-08  2.95629535e-08  1.99161191e-05  3.32727183e-05  4.04639913e-05  4.27410509e-09  6.04405596e-09  8.60254983e-09
 2.97036212e-08  2.97036212e-08  2.08740812e-05  3.59824327e-05  4.43815899e-05  4.38628714e-09  6.40631657e-09  9.29116871e-09
 2.98371354e-08  2.98371354e-08  2.18973508e-05  3.88829972e-05  4.85970724e-05  4.49791076e-09  6.77800882e-09  1.00074431e-08
 2.99635000e-08  2.99635000e-08  2.29894384e-05  4.19809186e-05  5.31200822e-05  4.60875651e-09  7.15797641e-09  1.07490794e-08
 3.00830197e-08  3.00830197e-08  2.41562166e-05  4.52892847e-05  5.79697542e-05  4.71884904e-09  7.54582324e-09  1.15151763e-08
 3.01960393e-08  3.01960393e-08  2.54045081e-05  4.88237926e-05  6.31690442e-05  4.82826334e-09  7.94132434e-09  1.23051379e-08
 3.03028589e-08  3.03028589e-08  2.67413289e-05  5.26006059e-05  6.87416007e-05  4.93704688e-09  8.34415936e-09  1.31181544e-08
 3.04037372e-08  3.04037372e-08  2.81737315e-05  5.66359258e-05  7.47111135e-05  5.04521450e-09  8.75388324e-09  1.39531350e-08
 3.04989171e-08  3.04989171e-08  2.97089521e-05  6.09464259e-05  8.11019431e-05  5.15276730e-09  9.16999065e-09  1.48088333e-08
 3.05886418e-08  3.05886418e-08  3.13546070e-05  6.55498228e-05  8.79399661e-05  5.25970872e-09  9.59197897e-09  1.56839775e-08
 3.06731588e-08  3.06731588e-08  3.31188246e-05  7.04652557e-05  9.52531455e-05  5.36605072e-09  1.00193793e-08  1.65773402e-08
 3.07527171e-08  3.07527171e-08  3.50103053e-05  7.57134535e-05  1.03071788e-04  5.47181322e-09  1.04517613e-08  1.74877560e-08
 3.08275636e-08  3.08275636e-08  3.70383426e-05  8.13167905e-05  1.11428633e-04  5.57702112e-09  1.08887272e-08  1.84141144e-08
 3.08979401e-08  3.08979401e-08  3.92128387e-05  8.72993256e-05  1.20358919e-04  5.68170176e-09  1.13299051e-08  1.93553511e-08
 3.09640812e-08  3.09640812e-08  4.15443332e-05  9.36868723e-05  1.29900486e-04  5.78588335e-09  1.17749459e-08  2.03104443e-08
 3.10262140e-08  3.10262140e-08  4.40440433e-05  1.00507104e-04  1.40093941e-04  5.88959433e-09  1.22235220e-08  2.12784162e-08
 3.10845576e-08  3.10845576e-08  4.67239157e-05  1.07789686e-04  1.50982850e-04  5.99286305e-09  1.26753279e-08  2.22583361e-08
 3.11393226e-08  3.11393226e-08  4.95966819e-05  1.15566412e-04  1.62613956e-04  6.09571758e-09  1.31300797e-08  2.32493228e-08
 3.11907111e-08  3.11907111e-08  5.26759177e-05  1.23871361e-04  1.75037396e-04  6.19818547e-09  1.35875151e-08  2.42505452e-08
 3.12389164e-08  3.12389164e-08  5.59761044e-05  1.32741040e-04  1.88306933e-04  6.30029353e-09  1.40473921e-08  2.52612224e-08
 3.12841230e-08  3.12841230e-08  5.95126935e-05  1.42214557e-04  2.02480197e-04  6.40206760e-09  1.45094881e-08  2.62806225e-08
 3.13265066e-08  3.13265066e-08  6.33021763e-05  1.52333783e-04  2.17618944e-04  6.50353243e-09  1.49735985e-08  2.73080608e-08
 3.13662343e-08  3.13662343e-08  6.73621575e-05  1.63143544e-04  2.33789332e-04  6.60471155e-09  1.54395359e-08  2.83428985e-08
 3.14034646e-08  3.14034646e-08  7.17114351e-05  1.74691816e-04  2.51062213e-04  6.70562722e-09  1.59071287e-08  2.93845408e-08
 3.14383478e-08  3.14383478e-08  7.63700854e-05  1.87029941e-04  2.69513457e-04  6.80630040e-09  1.63762201e-08  3.04324347e-08
