 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 1.97383843e-02  1.97383843e-02  2.29156666e-08  8.82737856e-11  3.41334948e-13  1.45619428e-10  9.92792590e-13  1.26715023e-14
 2.06148599e-02  2.06148599e-02  2.61020109e-08  1.00675605e-10  3.89797928e-13  1.73164121e-10  1.18500228e-12  1.51161679e-14
 2.15288158e-02  2.15288158e-02  2.97257961e-08  1.14791891e-10  4.45008329e-13  2.05873698e-10  1.41388277e-12  1.80261568e-14
 2.24830101e-02  2.24830101e-02  3.38518549e-08  1.30877713e-10  5.07973896e-13  2.44762417e-10  1.68671971e-12  2.14937859e-14
 2.34823845e-02  2.34823845e-02  3.85653446e-08  1.49267896e-10  5.80016714e-13  2.91154829e-10  2.01302593e-12  2.56395965e-14
 2.45257183e-02  2.45257183e-02  4.39331515e-08  1.70226495e-10  6.62183618e-13  3.46330085e-10  2.40204951e-12  3.05806783e-14
 2.56167851e-02  2.56167851e-02  5.00566565e-08  1.94152702e-10  7.56053108e-13  4.12066303e-10  2.86661286e-12  3.64794297e-14
 2.67555091e-02  2.67555091e-02  5.70285240e-08  2.21412229e-10  8.63074513e-13  4.90232262e-10  3.42024793e-12  4.35071473e-14
 2.79455304e-02  2.79455304e-02  6.49766322e-08  2.52509038e-10  9.85242208e-13  5.83300008e-10  4.08083414e-12  5.18901939e-14
 2.91877591e-02  2.91877591e-02  7.40274338e-08  2.87942203e-10  1.12453403e-12  6.93985720e-10  4.86807332e-12  6.18779145e-14
 3.04856463e-02  3.04856463e-02  8.43430293e-08  3.28351050e-10  1.28348197e-12  8.25741457e-10  5.80699983e-12  7.37871496e-14
 3.18407447e-02  3.18407447e-02  9.60919517e-08  3.74400916e-10  1.46472338e-12  9.82469168e-10  6.92597010e-12  8.79766875e-14
 3.32563861e-02  3.32563861e-02  1.09480914e-07  4.26907621e-10  1.67149114e-12  1.16900781e-09  8.26015962e-12  1.04891577e-13
 3.47346249e-02  3.47346249e-02  1.24732080e-07  4.86748527e-10  1.90726399e-12  1.39093001e-09  9.85014161e-12  1.25045052e-13
 3.62787892e-02  3.62787892e-02  1.42110657e-07  5.54970880e-10  2.17619367e-12  1.65504270e-09  1.17455011e-11  1.49064287e-13
 3.78913703e-02  3.78913703e-02  1.61907822e-07  6.32724989e-10  2.48284213e-12  1.96927945e-09  1.40041026e-11  1.77681048e-13
 3.95757893e-02  3.95757893e-02  1.84465277e-07  7.21360789e-10  2.83256290e-12  2.34323889e-09  1.66959982e-11  2.11781124e-13
 4.13349390e-02  4.13349390e-02  2.10163307e-07  8.22381107e-10  3.23131721e-12  2.78819391e-09  1.99035437e-11  2.52405712e-13
 4.31724076e-02  4.31724076e-02  2.39443380e-07  9.37530678e-10  3.68602574e-12  3.31770103e-09  2.37258417e-11  3.00807577e-13
 4.50914730e-02  4.50914730e-02  2.72801045e-07  1.06876844e-09  4.20445969e-12  3.94775858e-09  2.82799474e-11  3.58466174e-13
 4.70959513e-02  4.70959513e-02  3.10807655e-07  1.21835316e-09  4.79557962e-12  4.69753221e-09  3.37061788e-11  4.27154726e-13
 4.91895038e-02  4.91895038e-02  3.54108062e-07  1.38883464e-09  5.46950086e-12  5.58970932e-09  4.01707624e-11  5.08973512e-13
 5.13762270e-02  5.13762270e-02  4.03442536e-07  1.58314020e-09  6.23783580e-12  6.65140328e-09  4.78724716e-11  6.06433636e-13
 5.36601757e-02  5.36601757e-02  4.59649475e-07  1.80458563e-09  7.11373736e-12  7.91477258e-09  5.70472200e-11  7.22514856e-13
 5.60457743e-02  5.60457743e-02  5.23688692e-07  2.05696716e-09  8.11226263e-12  9.41819082e-09  6.79766697e-11  8.60774130e-13
 5.85374903e-02  5.85374903e-02  5.96649628e-07  2.34459410e-09  9.25050150e-12  1.12072291e-08  8.09955018e-11  1.02543711e-12
 6.11401219e-02  6.11401219e-02  6.79777325e-07  2.67239148e-09  1.05479823e-11  1.33362139e-08  9.65028962e-11  1.22154278e-12
 6.38585758e-02  6.38585758e-02  7.74486954e-07  3.04595759e-09  1.20268983e-11  1.58697135e-08  1.14973519e-10  1.45508165e-12
