 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 1.64887143e-08  1.64887143e-08  2.30295216e-06 -1.26026589e-03 -4.28339893e-03  3.80843063e-10 -1.09417179e-10 -4.35415201e-10
 1.64889255e-08  1.64889255e-08  2.30303987e-06 -1.33643984e-03 -5.10724868e-03  3.80924742e-10 -1.29567748e-10 -5.50415507e-10
 1.64891387e-08  1.64891387e-08  2.30312836e-06 -1.41331240e-03 -6.03919701e-03  3.81010725e-10 -1.51049970e-10 -6.88088940e-10
 1.64893415e-08  1.64893415e-08  2.30321253e-06 -1.48644037e-03 -7.02469358e-03  3.81095811e-10 -1.72547109e-10 -8.41500952e-10
 1.64895449e-08  1.64895449e-08  2.30329694e-06 -1.55979985e-03 -8.11538253e-03  3.81184364e-10 -1.95143854e-10 -1.01976887e-09
 1.64897407e-08  1.64897407e-08  2.30337818e-06 -1.63042227e-03 -9.26662864e-03  3.81272614e-10 -2.17865745e-10 -1.21671798e-09
 1.64899419e-08  1.64899419e-08  2.30346165e-06 -1.70299222e-03 -1.05579527e-02  3.81366340e-10 -2.42195166e-10 -1.44746552e-09
 1.64901512e-08  1.64901512e-08  2.30354844e-06 -1.77847003e-03 -1.20227896e-02  3.81467061e-10 -2.68544588e-10 -1.72078477e-09
 1.64903697e-08  1.64903697e-08  2.30363904e-06 -1.85728566e-03 -1.36908345e-02  3.81575727e-10 -2.97185254e-10 -2.04576385e-09
 1.64905985e-08  1.64905985e-08  2.30373392e-06 -1.93983429e-03 -1.55962479e-02  3.81693321e-10 -3.28402299e-10 -2.43341822e-09
 1.64908374e-08  1.64908374e-08  2.30383296e-06 -2.02603391e-03 -1.77665301e-02  3.81820196e-10 -3.62316037e-10 -2.89453034e-09
 1.64910872e-08  1.64910872e-08  2.30393650e-06 -2.11618299e-03 -2.02423779e-02  3.81957284e-10 -3.99202741e-10 -3.44389796e-09
 1.64913480e-08  1.64913480e-08  2.30404455e-06 -2.21027794e-03 -2.30613380e-02  3.82105099e-10 -4.39228768e-10 -4.09715190e-09
 1.64916205e-08  1.64916205e-08  2.30415743e-06 -2.30861317e-03 -2.62749141e-02  3.82264651e-10 -4.82695688e-10 -4.87489566e-09
 1.64919049e-08  1.64919049e-08  2.30427522e-06 -2.41126702e-03 -2.99343086e-02  3.82436644e-10 -5.29824430e-10 -5.79983199e-09
 1.64922020e-08  1.64922020e-08  2.30439824e-06 -2.51852173e-03 -3.41049191e-02  3.82622156e-10 -5.80939812e-10 -6.90075281e-09
 1.64925122e-08  1.64925122e-08  2.30452665e-06 -2.63050836e-03 -3.88549467e-02  3.82822048e-10 -6.36308874e-10 -8.21025359e-09
 1.64928362e-08  1.64928362e-08  2.30466073e-06 -2.74750053e-03 -4.42678381e-02  3.83037466e-10 -6.96279216e-10 -9.76869779e-09
 1.64931746e-08  1.64931746e-08  2.30480069e-06 -2.86967006e-03 -5.04334428e-02  3.83269408e-10 -7.61158355e-10 -1.16226098e-08
 1.64935279e-08  1.64935279e-08  2.30494683e-06 -2.99729093e-03 -5.74588481e-02  3.83519089e-10 -8.31316039e-10 -1.38287612e-08
 1.64938969e-08  1.64938969e-08  2.30509936e-06 -3.13057062e-03 -6.54617609e-02  3.83787618e-10 -9.07093463e-10 -1.64533511e-08
 1.64942823e-08  1.64942823e-08  2.30525861e-06 -3.26979135e-03 -7.45801727e-02  3.84076266e-10 -9.88877597e-10 -1.95764141e-08
 1.64946848e-08  1.64946848e-08  2.30542484e-06 -3.41519368e-03 -8.49677597e-02  3.84386220e-10 -1.07703187e-09 -2.32919638e-08
 1.64951051e-08  1.64951051e-08  2.30559836e-06 -3.56707457e-03 -9.68028031e-02  3.84718771e-10 -1.17194848e-09 -2.77129941e-08
 1.64955440e-08  1.64955440e-08  2.30577947e-06 -3.72570748e-03 -1.10285504e-01  3.85075122e-10 -1.27399387e-09 -3.29728499e-08
 1.64960024e-08  1.64960024e-08  2.30596852e-06 -3.89141133e-03 -1.25646574e-01  3.85456515e-10 -1.38354303e-09 -3.92311899e-08
 1.64964811e-08  1.64964811e-08  2.30616582e-06 -4.06449671e-03 -1.43146448e-01  3.85864075e-10 -1.50093411e-09 -4.66769592e-08
 1.64969810e-08  1.64969810e-08  2.30637174e-06 -4.24531330e-03 -1.63083944e-01  3.86298877e-10 -1.62648675e-09 -5.55357959e-08
 1.64975030e-08  1.64975030e-08  2.30658663e-06 -4.43420634e-03 -1.85797409e-01  3.86761809e-10 -1.76046074e-09 -6.60751352e-08
 1.64980482e-08  1.64980482e-08  2.30681086e-06 -4.63154265e-03 -2.11673971e-01  3.87253592e-10 -1.90305984e-09 -7.86138265e-08
 1.64986174e-08  1.64986174e-08  2.30704482e-06 -4.83768725e-03 -2.41153087e-01  3.87774651e-10 -2.05439111e-09 -9.35303625e-08
 1.64992118e-08  1.64992118e-08  2.30728892e-06 -5.05303351e-03 -2.74737036e-01  3.88325079e-10 -2.21445330e-09 -1.11275793e-07
 1.64998325e-08  1.64998325e-08  2.30754356e-06 -5.27798818e-03 -3.12996839e-01  3.88904487e-10 -2.38308837e-09 -1.32386021e-07
 1.64998489e-08  1.64998489e-08  2.30755032e-06 -4.23847509e-03  3.15605806e+04  1.00137346e-09 -1.99900628e-07  5.82383538e-05
 1.64998542e-08  1.64998542e-08  2.30755250e-06 -3.82975570e-03  4.04654860e+04  1.24886943e-09 -2.79716620e-07  8.18258873e-05
 1.64998560e-08  1.64998560e-08  2.30755324e-06 -3.67987690e-03  4.32218932e+04  1.34057101e-09 -3.09289843e-07  9.05655041e-05
 1.64998580e-08  1.64998580e-08  2.30755409e-06 -3.49894708e-03  4.61512199e+04  1.45197210e-09 -3.45216051e-07  1.01182601e-04
 1.64998607e-08  1.64998607e-08  2.30755517e-06 -3.25278077e-03  4.95140033e+04  1.60457116e-09 -3.94428366e-07  1.15726103e-04
 1.64998643e-08  1.64998643e-08  2.30755667e-06 -2.88950167e-03  5.34273362e+04  1.83135609e-09 -4.67565207e-07  1.37339961e-04
 1.64998676e-08  1.64998676e-08  2.30755804e-06 -2.54023477e-03  5.62672022e+04  2.05065896e-09 -5.38289132e-07  1.58240779e-04
 1.64998714e-08  1.64998714e-08  2.30755960e-06 -2.12458934e-03  5.87440459e+04  2.31272736e-09 -6.22804701e-07  1.83217442e-04
 1.64998749e-08  1.64998749e-08  2.30756106e-06 -1.72221419e-03  6.04162095e+04  2.56719419e-09 -7.04868812e-07  2.07469670e-04
 1.64998785e-08  1.64998785e-08  2.30756253e-06 -1.30609045e-03  6.15762266e+04  2.83087552e-09 -7.89904549e-07  2.32600132e-04
 1.64998819e-08  1.64998819e-08  2.30756394e-06 -9.05645854e-04  6.22895522e+04  3.08494522e-09 -8.71840589e-07  2.56814578e-04
 1.64998853e-08  1.64998853e-08  2.30756533e-06 -5.03911370e-04  6.27373003e+04  3.34003418e-09 -9.54105338e-07  2.81126199e-04
 1.64998885e-08  1.64998885e-08  2.30756666e-06 -1.18545194e-04  6.30257280e+04  3.58485329e-09 -1.03305812e-06  3.04459064e-04
 1.64998915e-08  1.64998915e-08  2.30756793e-06  2.49295900e-04  6.32684478e+04  3.81862485e-09 -1.10844813e-06  3.26739052e-04
 1.64998947e-08  1.64998947e-08  2.30756923e-06  6.31326029e-04  6.35864077e+04  4.06150588e-09 -1.18677589e-06  3.49887260e-04
 1.64998981e-08  1.64998981e-08  2.30757066e-06  1.05010948e-03  6.41335553e+04  4.32790412e-09 -1.27268782e-06  3.75276847e-04
 1.64999014e-08  1.64999014e-08  2.30757199e-06  1.44724466e-03  6.49519956e+04  4.58074875e-09 -1.35422879e-06  3.99374711e-04
 1.64999048e-08  1.64999048e-08  2.30757341e-06  1.87521340e-03  6.62801454e+04  4.85357783e-09 -1.44221463e-06  4.25377262e-04
 1.64999080e-08  1.64999080e-08  2.30757474e-06  2.28370106e-03  6.80764639e+04  5.11445702e-09 -1.52634670e-06  4.50240932e-04
 1.64999113e-08  1.64999113e-08  2.30757610e-06  2.71698261e-03  7.06370450e+04  5.39182542e-09 -1.61579646e-06  4.76676169e-04
 1.64999144e-08  1.64999144e-08  2.30757738e-06  3.13919091e-03  7.38427741e+04  5.66289158e-09 -1.70321378e-06  5.02510780e-04
 1.64999175e-08  1.64999175e-08  2.30757867e-06  3.58301076e-03  7.80111415e+04  5.94880118e-09 -1.79541803e-06  5.29760101e-04
 1.64999204e-08  1.64999204e-08  2.30757988e-06  4.02351605e-03  8.29707403e+04  6.23364905e-09 -1.88727988e-06  5.56908249e-04
 1.64999233e-08  1.64999233e-08  2.30758107e-06  4.48500872e-03  8.90368229e+04  6.53327475e-09 -1.98390751e-06  5.85464849e-04
 1.64999260e-08  1.64999260e-08  2.30758220e-06  4.95080676e-03  9.60318565e+04  6.83695991e-09 -2.08184430e-06  6.14408356e-04
 1.64999286e-08  1.64999286e-08  2.30758329e-06  5.43946737e-03  1.04266141e+05  7.15688874e-09 -2.18501959e-06  6.44900017e-04
 1.64999311e-08  1.64999311e-08  2.30758433e-06  5.94015496e-03  1.13596007e+05  7.48604566e-09 -2.29117089e-06  6.76271188e-04
 1.64999335e-08  1.64999335e-08  2.30758534e-06  6.46733829e-03  1.24329824e+05  7.83400278e-09 -2.40338516e-06  7.09434164e-04
 1.64999358e-08  1.64999358e-08  2.30758629e-06  7.01417442e-03  1.36378463e+05  8.19630181e-09 -2.52022463e-06  7.43964031e-04
 1.64999380e-08  1.64999380e-08  2.30758722e-06  7.59217690e-03  1.50051928e+05  8.58061810e-09 -2.64416454e-06  7.80592309e-04
 1.64999401e-08  1.64999401e-08  2.30758811e-06  8.19726681e-03  1.65323549e+05  8.98428682e-09 -2.77434552e-06  8.19065017e-04
 1.64999421e-08  1.64999421e-08  2.30758897e-06  8.83884523e-03  1.82510516e+05  9.41362013e-09 -2.91280319e-06  8.59983749e-04
 1.64999441e-08  1.64999441e-08  2.30758979e-06  9.51483059e-03  2.01652078e+05  9.86726577e-09 -3.05910147e-06  9.03219623e-04
 1.64999459e-08  1.64999459e-08  2.30759059e-06  1.02331469e-02  2.23080903e+05  1.03505776e-08 -3.21496695e-06  9.49282903e-04
 1.64999477e-08  1.64999477e-08  2.30759136e-06  1.09932269e-02  2.46905443e+05  1.08632099e-08 -3.38028810e-06  9.98140628e-04
 1.64999495e-08  1.64999495e-08  2.30759211e-06  1.18019917e-02  2.73484540e+05  1.14098631e-08 -3.55658083e-06  1.05024079e-03
 1.64999511e-08  1.64999511e-08  2.30759284e-06  1.26600704e-02  3.03000614e+05  1.19909943e-08 -3.74399255e-06  1.10562696e-03
 1.64999527e-08  1.64999527e-08  2.30759354e-06  1.35737321e-02  3.35851343e+05  1.26108784e-08 -3.94390187e-06  1.16470656e-03
 1.64999542e-08  1.64999542e-08  2.30759423e-06  1.45445828e-02  3.72300058e+05  1.32706332e-08 -4.15666928e-06  1.22758612e-03
 1.64999557e-08  1.64999557e-08  2.30759490e-06  1.55784967e-02  4.12797739e+05  1.39742763e-08 -4.38359042e-06  1.29464854e-03
