row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias,family,cleanup_topology
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,1.7257408483439864e-07,1.7257408483439864e-07,-0.7263646051634274,-0.6585892898025657,0.3173600202531823,0.008647616452693078,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,1.7640906449738526e-07,1.7640906449738526e-07,-1.037730814443604,-0.07911438147161137,0.023096097221541646,0.009494975969182081,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,1.802440441603719e-07,1.802440441603719e-07,-0.0190515619589254,0.4827071227592763,-0.0558391240119054,-0.001875430715719432,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,1.8407902382335853e-07,1.8407902382335853e-07,0.997314269129661,0.7985883902119564,0.0163543744341451,-0.011108843807991153,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,1.8791400348634518e-07,1.8791400348634518e-07,0.7440453033183869,0.08408566610961926,-0.36241060442022727,-0.005964290615033508,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,1.917489831493318e-07,1.917489831493318e-07,-0.48623766601722007,-1.3314738826770849,0.29869027944399534,0.006624391058981824,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,1.9558396281231845e-07,1.9558396281231845e-07,-1.1022043801659693,0.03548289621260966,0.02635658723818042,0.010599608781954546,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,1.9941894247530507e-07,1.9941894247530507e-07,-0.2976497628869256,0.2841562346622927,-0.0746318123428376,0.0010160854821723267,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.0325392213829172e-07,2.0325392213829172e-07,0.8608394372843284,0.7931884860556542,0.0640270324648108,-0.010158601815560997,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.0708890180127837e-07,2.0708890180127837e-07,0.9202700766952945,0.4785716990574643,-0.3579309938893209,-0.008225916719393683,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.10923881464265e-07,2.10923881464265e-07,-0.2142217838342538,-1.7963158141283644,0.44468863126409114,0.004152019556667491,dual_path_phase_matched_line,extraction_plus_rejection
