row_type,circuit,case_id,nonlinear_variant,time_s,v_source,v_generated,v_target,i_source,i_generated,i_target,scale_preset,phase_error_target,unwrapped_phase_error_target,generated_envelope,target_envelope
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,80.1984344,0.196474919,-0.0982096823,-0.0824419516,0.490582039,0.325076514,-0.000659095158,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,81.6841637,-0.445497423,0.0927145485,-0.00723392308,0.141853777,-0.185439726,0.243106246,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,83.3823628,0.019784812,-0.079827124,0.0206693756,-0.518098186,0.00865468686,0.163353913,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,85.1120065,0.432765219,0.0860096389,0.0399395556,0.225579686,0.34785538,0.229715253,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,86.8574287,-0.353366748,-3.15411281e-05,0.0732662881,0.343844772,-0.289865351,0.0763610413,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,88.3417953,-0.267870643,-0.0241316199,0.0403571704,-0.430097061,0.213041871,-0.178154036,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,89.9383473,0.420242492,0.0837374862,0.00265242432,-0.195444609,-0.0495259027,-0.166215805,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,91.7393225,-0.0365290747,-0.154481877,-0.0197547464,0.531035166,0.017363547,-0.292062366,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,93.4838722,-0.407597391,0.0637851381,-0.0435010674,-0.252767348,0.171284375,-0.171203124,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,95.118403,0.306730198,0.00684717461,-0.0528847813,-0.374735842,-0.141293272,-0.0377552508,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,96.8158005,0.22173452,-0.0846847998,-0.0808191017,0.479183744,0.351265248,0.045946305,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,98.6544385,-0.462509143,0.112159544,-0.0646319524,-0.0368489594,-0.014056122,0.103015692,,,,,
spice_refine_timeseries,r001_beh_ns1_lim1_k1_drv1_default_m1,r001,behavioral_proxy_current,100.292112,0.140787647,-0.0624241058,-0.0236922035,-0.490573192,-0.082727565,0.157525433,,,,,
